Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Arjen Robben,5,8,13,Bayern Munich,Netherlands ,http://www.espnfc.co.uk/player/11137/arjen-robben
Valère Germain,9,4,13,Marseille,Unknown,http://www.espnfc.co.uk/player/157901/valere-germain
Dimitri Payet,4,9,13,Marseille,France ,http://www.espnfc.co.uk/player/84877/dimitri-payet
Miralem Pjanic,5,8,13,Juventus,Bosnia and Herzegovina ,http://www.espnfc.co.uk/player/105813/miralem-pjanic
Adrien Rabiot,4,8,12,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/176203/adrien-rabiot
Marcos Alonso,8,4,12,Chelsea,Spain ,http://www.espnfc.co.uk/player/146127/marcos-alonso
James Rodríguez,4,8,12,Bayern Munich,Colombia ,http://www.espnfc.co.uk/player/82816/james-rodriguez
Simone Zaza,10,2,12,Valencia,Italy ,http://www.espnfc.co.uk/player/132580/simone-zaza
Mesut Özil,5,7,12,Arsenal,Germany ,http://www.espnfc.co.uk/player/84775/mesut-ozil
Corentin Tolisso,6,6,12,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/192060/corentin-tolisso
Gonçalo Guedes,6,6,12,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/213141/goncalo-guedes
Federico Bernardeschi,5,6,11,Juventus,Unknown,http://www.espnfc.co.uk/player/180956/federico-bernardeschi
Pedro,6,5,11,Chelsea,Spain ,http://www.espnfc.co.uk/player/114032/pedro
Ilkay Gündogan,4,7,11,Manchester City,Germany ,http://www.espnfc.co.uk/player/131424/ilkay-gundogan
Jordi Alba,3,8,11,Barcelona,Spain ,http://www.espnfc.co.uk/player/121021/jordi-alba
Alex Oxlade-Chamberlain,4,7,11,Liverpool,England ,http://www.espnfc.co.uk/player/145392/alex-oxlade-chamberlain
James Milner,3,8,11,Liverpool,England ,http://www.espnfc.co.uk/player/26843/james-milner
Cesc Fàbregas,2,9,11,Chelsea,Spain ,http://www.espnfc.co.uk/player/38886/cesc-fabregas
Ángel Correa,6,5,11,Atletico Madrid,Argentina ,http://www.espnfc.co.uk/player/195681/angel-correa
Dani Alves,4,7,11,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/30901/dani-alves
Juan Mata,4,7,11,Manchester United,Spain ,http://www.espnfc.co.uk/player/103025/juan-mata
Morgan Sanson,8,3,11,Marseille,Unknown,http://www.espnfc.co.uk/player/176816/morgan-sanson
Mario Mandzukic,7,3,10,Juventus,Croatia ,http://www.espnfc.co.uk/player/105582/mario-mandzukic
Casemiro,6,4,10,Real Madrid,Brazil ,http://www.espnfc.co.uk/player/173666/casemiro
Thomas Lemar,3,7,10,AS Monaco,Unknown,http://www.espnfc.co.uk/player/190291/thomas-lemar
Clinton Njie,6,4,10,Marseille,Unknown,http://www.espnfc.co.uk/player/180740/clinton-njie
Franck Ribéry,4,6,10,Bayern Munich,France ,http://www.espnfc.co.uk/player/42968/franck-ribery
Paulinho,8,2,10,Barcelona,Brazil ,http://www.espnfc.co.uk/player/139718/paulinho
Yannick Carrasco,4,6,10,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/174893/yannick-carrasco
Ivan Rakitic,5,5,10,Barcelona,Croatia ,http://www.espnfc.co.uk/player/102251/ivan-rakitic
Julian Draxler,4,5,9,Paris Saint-Germain ,Germany ,http://www.espnfc.us/player/155246/julian-draxler
Toni Kroos,4,5,9,Real Madrid,Germany ,http://www.espnfc.co.uk/player/103173/toni-kroos
Juan Cuadrado,4,5,9,Juventus,Colombia ,http://www.espnfc.co.uk/player/118986/juan-cuadrado
Djibril Sidibé,3,6,9,AS Monaco,Unknown,http://www.espnfc.co.uk/player/30302/djibril-sidibe
Paco Alcácer,6,3,9,Barcelona,Unknown,http://www.espnfc.co.uk/player/150506/paco-alcacer
Sead Kolasinac,4,5,9,Arsenal,Unknown,http://www.espnfc.co.uk/player/170553/sead-kolasinac
Borja Mayoral,7,2,9,Real Madrid,Unknown,http://www.espnfc.co.uk/player/218793/borja-mayoral
Alex Iwobi,4,5,9,Arsenal,Unknown,http://www.espnfc.co.uk/player/175063/alex-iwobi
Lucas Ocampos,7,2,9,Marseille,Argentina ,http://www.espnfc.co.uk/player/159263/lucas-ocampos
Kieran Trippier,0,9,9,Tottenham Hotspur,England ,http://www.espnfc.co.uk/player/143637/kieran-trippier
Alex Sandro,3,6,9,Juventus,Brazil ,http://www.espnfc.co.uk/player/125514/alex-sandro
Denis Suárez,4,5,9,Barcelona,Unknown,http://www.espnfc.co.uk/player/163068/denis-suarez
Shinji Okazaki,7,2,9,Leicester City,Japan ,http://www.espnfc.co.uk/player/117630/shinji-okazaki
Marcelo,3,6,9,Real Madrid,Brazil ,http://www.espnfc.co.uk/player/77641/marcelo
Thomas Meunier,4,4,8,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/166473/thomas-meunier
Sami Khedira,6,2,8,Juventus,Germany ,http://www.espnfc.co.uk/player/87882/sami-khedira
Douglas Costa,2,6,8,Juventus,Brazil ,http://www.espnfc.co.uk/player/127502/douglas-costa
