Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Stephan Lichtsteiner,0,2,2,Juventus,Switzerland ,http://www.espnfc.co.uk/player/33644/stephan-lichtsteiner
Vincent Kompany,1,0,1,Manchester City,Belgium ,http://www.espnfc.co.uk/player/72935/vincent-kompany
Pedro Chirivella,1,0,1,Liverpool,Unknown,http://www.espnfc.co.uk/player/222212/pedro-chirivella
Matty James,0,1,1,Leicester City,England ,http://www.espnfc.co.uk/player/135430/matty-james
Nemanja Matic,0,1,1,Manchester United,Serbia ,http://www.espnfc.co.uk/player/135743/nemanja-matic
Danny Drinkwater,1,0,1,Chelsea,England ,http://www.espnfc.co.uk/player/135376/danny-drinkwater
Patrick Roberts,0,1,1,Manchester City,Unknown,http://www.espnfc.co.uk/player/194118/patrick-roberts
Christopher Nkunku,1,0,1,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/222176/christopher-nkunku
Kyle Walker-Peters,1,0,1,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/235129/kyle-walker-peters
Diego Godín,1,0,1,Atletico Madrid,Uruguay ,http://www.espnfc.co.uk/player/104564/diego-godin
Scott McTominay,1,0,1,Manchester United,Unknown,http://www.espnfc.co.uk/player/255850/scott-mctominay
Samir Nasri,0,1,1,Manchester City,France ,http://www.espnfc.co.uk/player/43531/samir-nasri
Benjamin Mendy,0,1,1,Manchester City,Unknown,http://www.espnfc.co.uk/player/159318/benjamin-mendy
"																						Michael Strein
																				",1,0,1,Bayern Munich,Unknown,ESPN
Yaya Touré,0,1,1,Manchester City,Côte d'Ivoire ,http://www.espnfc.co.uk/player/69277/yaya-toure
Mattia De Sciglio,1,0,1,Juventus,Italy ,http://www.espnfc.co.uk/player/163166/mattia-de-sciglio
Kaziah Sterling,1,0,1,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/228497/kaziah-sterling
Rob Holding,1,0,1,Arsenal,Unknown,http://www.espnfc.co.uk/player/218188/rob-holding
Andrea Barzagli,0,1,1,Juventus,Italy ,http://www.espnfc.co.uk/player/28426/andrea-barzagli
Juan Moreno,1,0,1,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/227196/juan-moreno
Lassana Diarra,0,1,1,Paris Saint-Germain ,France ,http://www.espnfc.us/player/67870/lassana-diarra
Jesé,0,1,1,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/162453/jese
Raphaël Varane,0,1,1,Real Madrid,France ,http://www.espnfc.co.uk/player/153053/raphael-varane
Chris Smalling,1,0,1,Manchester United,England ,http://www.espnfc.co.uk/player/123605/chris-smalling
Moise Kean,0,1,1,Juventus,Italy ,http://www.espnfc.co.uk/player/248633/moise-kean
Gabi,0,1,1,Atletico Madrid,Spain ,http://www.espnfc.co.uk/player/41789/gabi
Reiss Nelson,0,1,1,Arsenal,Unknown,http://www.espnfc.co.uk/player/227794/reiss-nelson
Nicolás Gaitán,1,0,1,Atletico Madrid,Argentina ,http://www.espnfc.co.uk/player/149621/nicolas-gaitan
Marcos Rojo,0,1,1,Manchester United,Argentina ,http://www.espnfc.co.uk/player/129426/marcos-rojo
Joël Matip,1,0,1,Liverpool,Germany ,http://www.espnfc.co.uk/player/134659/joel-matip
Pierre-Emerick Aubameyang,1,0,1,Arsenal,France ,http://www.espnfc.co.uk/player/122260/pierre-emerick-aubameyang
Kwadwo Asamoah,0,1,1,Juventus,Ghana ,http://www.espnfc.co.uk/player/113754/kwadwo-asamoah
Timothy Fosu-Mensah,0,1,1,Manchester United,Unknown,http://www.espnfc.co.uk/player/234380/timothy-fosu-mensah
Eric Bailly,1,0,1,Manchester United,Unknown,http://www.espnfc.co.uk/player/212342/eric-bailly
Marcos Llorente,0,1,1,Real Madrid,Unknown,http://www.espnfc.co.uk/player/206474/marcos-llorente
Kevin N'Doram,0,1,1,AS Monaco,Unknown,http://www.espnfc.co.uk/player/228736/kevin-ndoram
Danny Ings,0,1,1,Liverpool,England ,http://www.espnfc.co.uk/player/141706/danny-ings
Andrea Raggi,1,0,1,AS Monaco,Italy ,http://www.espnfc.co.uk/player/31462/andrea-raggi
Zlatan Ibrahimovic,1,0,1,Manchester United,"Malmo, Sweden ",http://www.espnfc.co.uk/player/11001/zlatan-ibrahimovic
Nemanja Maksimovic,1,0,1,Valencia,Unknown,http://www.espnfc.co.uk/player/219538/nemanja-maksimovic
Nacho Vidal,1,0,1,Valencia,Unknown,http://www.espnfc.co.uk/player/240102/nacho-vidal
Nélson Semedo,0,1,1,Barcelona,Unknown,http://www.espnfc.co.uk/player/222670/nelson-semedo
Thibaut Courtois,0,1,1,Chelsea,Unknown,http://www.espnfc.co.uk/player/134283/thibaut-courtois
Thomas Vermaelen,0,1,1,Barcelona,Belgium ,http://www.espnfc.co.uk/player/40543/thomas-vermaelen
Robert Ibáñez,1,0,1,Valencia,Unknown,http://www.espnfc.co.uk/player/178416/robert-ibanez
Rúben Vezo,1,0,1,Valencia,Unknown,http://www.espnfc.co.uk/player/173401/ruben-vezo
Phil Foden,0,1,1,Manchester City,Unknown,http://www.espnfc.co.uk/player/250787/phil-foden
Nacho Gil,0,1,1,Valencia,Unknown,http://www.espnfc.co.uk/player/231574/nacho-gil
Óscar,1,0,1,Real Madrid,Unknown,http://www.espnfc.co.uk/player/259842/oscar
Sven Ulreich,0,1,1,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/113733/sven-ulreich
Emerson Palmieri,0,1,1,Chelsea,Brazil ,http://www.espnfc.co.uk/player/159051/emerson-palmieri
Gary Cahill,0,1,1,Chelsea,England ,http://www.espnfc.co.uk/player/40509/gary-cahill
Derrick Kohn,0,1,1,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/263202/derrick-kohn
Marko Grujic,1,0,1,Liverpool,Unknown,http://www.espnfc.co.uk/player/219536/marko-grujic
Sheyi Ojo,0,1,1,Liverpool,Unknown,http://www.espnfc.co.uk/player/214790/sheyi-ojo
André Gomes,0,1,1,Barcelona,Unknown,http://www.espnfc.co.uk/player/175108/andre-gomes
Marco Friedl,1,0,1,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/232477/marco-friedl
Thiago Motta,1,0,1,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/13849/thiago-motta
Leonardo Ulloa,0,1,1,Leicester City,"Gral. Roca, Argentina ",http://www.espnfc.co.uk/player/67327/leonardo-ulloa
Adam Lallana,0,1,1,Liverpool,England ,http://www.espnfc.co.uk/player/85472/adam-lallana
Claudio Bravo,0,1,1,Manchester City,"Viluco, Chile ",http://www.espnfc.co.uk/player/85373/claudio-bravo
Adrian Fein,0,1,1,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/251638/adrian-fein
Raphael Obermair,1,0,1,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/251639/raphael-obermair
Rémy Cabella,1,0,1,Marseille,France ,http://www.espnfc.co.uk/player/136688/remy-cabella
Bouna Sarr,0,1,1,Marseille,Unknown,http://www.espnfc.co.uk/player/163922/bouna-sarr
Chris Willock,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/222154/chris-willock
Calum Chambers,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/176266/calum-chambers
Keylor Navas,0,0,0,Real Madrid,Costa Rica ,http://www.espnfc.co.uk/player/73247/keylor-navas
Ben Sheaf,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/229106/ben-sheaf
Aymeric Laporte,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/159317/aymeric-laporte
Luca Zidane,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/225561/luca-zidane
Nathaniel Clyne,0,0,0,Liverpool,England ,http://www.espnfc.co.uk/player/127865/nathaniel-clyne
Charlie Gilmour,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/227783/charlie-gilmour
Vlad Dragomir,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/266180/vlad-dragomir
Ainsley Maitland-Niles,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/214402/ainsley-maitland-niles
Joseph Willock,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/259517/joseph-willock
Demeaco Duhaney,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/260166/demeaco-duhaney
Jon Flanagan,0,0,0,Liverpool,England ,http://www.espnfc.co.uk/player/22992/jon-flanagan
Tyreke Wilson,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/260167/tyreke-wilson
"																						Mesut Ozili
																				",0,0,0,Arsenal,Unknown,ESPN
Ben Hamer,0,0,0,Leicester City,England ,http://www.espnfc.co.uk/player/83011/ben-hamer
Eldin Jakupovic,0,0,0,Leicester City,Bosnia and Herzegovina ,http://www.espnfc.co.uk/player/69318/eldin-jakupovic
Kasper Schmeichel,0,0,0,Leicester City,Denmark ,http://www.espnfc.co.uk/player/40200/kasper-schmeichel
Robert Huth,0,0,0,Leicester City,"Berlin, Germany ",http://www.espnfc.co.uk/player/18891/robert-huth
Elliott Moore,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/243388/elliott-moore
Nampalys Mendy,0,0,0,Leicester City,France ,http://www.espnfc.co.uk/player/148172/nampalys-mendy
Callum Elder,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/191425/callum-elder
Wes Morgan,0,0,0,Leicester City,England ,http://www.espnfc.co.uk/player/31376/wes-morgan
Ben Chilwell,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/225426/ben-chilwell
Darnell Johnson,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/243646/darnell-johnson
Aleksandar Dragovic,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/142977/aleksandar-dragovic
Eliaquim Mangala,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/127479/eliaquim-mangala
Ryan Kent,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/196354/ryan-kent
Danny Simpson,0,0,0,Leicester City,England ,http://www.espnfc.co.uk/player/83177/danny-simpson
Aleksandar Kolarov,0,0,0,Manchester City,Serbia ,http://www.espnfc.co.uk/player/103939/aleksandar-kolarov
Manu,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/259839/manu
Tosin Adarabioyo,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/231198/tosin-adarabioyo
Yacine Adli,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/265911/yacine-adli
Jasper Cillessen,0,0,0,Barcelona,Netherlands ,http://www.espnfc.co.uk/player/137783/jasper-cillessen
Jason Denayer,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/182336/jason-denayer
Layton Ndukwu,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/225547/layton-ndukwu
Daniel Grimshaw,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/259837/daniel-grimshaw
Daniel Amartey,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/186047/daniel-amartey
Jokin Ezkieta,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/209578/jokin-ezkieta
Tom Lawrence,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/196698/tom-lawrence
Yohan Benalouane,0,0,0,Leicester City,France ,http://www.espnfc.co.uk/player/97498/yohan-benalouane
Marc-André ter Stegen,0,0,0,Barcelona,Germany ,http://www.espnfc.co.uk/player/140740/marc-andre-ter-stegen
Harvey Barnes,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/243386/harvey-barnes
Josh Knight,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/137433/josh-knight
George Thomas,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/195792/george-thomas
Kevin Stewart,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/153145/kevin-stewart
Lazar Markovic,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/165218/lazar-markovic
Adrià Ortolá,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/165665/adria-ortola
Lukas Nmecha,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/258956/lukas-nmecha
Wilfried Bony,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/153824/wilfried-bony
Hamza Choudhury,0,0,0,Leicester City,Unknown,http://www.espnfc.co.uk/player/234320/hamza-choudhury
Jan Oblak,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/149622/jan-oblak
Axel Werner,0,0,0,Atletico Madrid,Argentina ,http://www.espnfc.co.uk/player/176808/axel-werner
Miguel Ángel Moyà,0,0,0,Atletico Madrid,Spain ,http://www.espnfc.co.uk/player/32937/miguel-angel-moya
David Costas,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/192796/david-costas
Andrés Solano,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/261185/andres-solano
Rafael Muñoz,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/255887/rafael-munoz
Jadon Sancho,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/259836/jadon-sancho
Ovie Ejaria,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/238723/ovie-ejaria
Yerry Mina,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/196901/yerry-mina
Oleksandr Zinchenko,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/217482/oleksandr-zinchenko
Antonio Montoro,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/267460/antonio-montoro
Lucas,0,0,0,Liverpool,Brazil ,http://www.espnfc.co.uk/player/108315/lucas
Sergio González,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/229338/sergio-gonzalez
Stefan Savic,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/150541/stefan-savic
Brandon Austin,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/259942/brandon-austin
Salomón Obama,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/261184/salomon-obama
Alfie Whiteman,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/228498/alfie-whiteman
Hugo Lloris,0,0,0,Tottenham Hotspur,France ,http://www.espnfc.co.uk/player/43372/hugo-lloris
Pau López,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/203061/pau-lopez
Amath Diedhiou,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/162264/amath-diedhiou
Michel Vorm,0,0,0,Tottenham Hotspur,Netherlands ,http://www.espnfc.co.uk/player/19705/michel-vorm
Rafael Santos Borré,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/197052/rafael-santos-borre
Paulo Gazzaniga,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/164469/paulo-gazzaniga
Cameron Carter-Vickers,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/219273/cameron-carter-vickers
Juan Foyth,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/242710/juan-foyth
Alberto Ródenas,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/267461/alberto-rodenas
Victor Mollejo,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/261183/victor-mollejo
Giovanni Navarro Sole,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/270328/giovanni-navarro-sole
Jesús Vallejo,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/209592/jesus-vallejo
Lorenzo Callegari,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/221547/lorenzo-callegari
Jonathan Toko Lema Dinzeyi,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/259944/jonathan-toko-lema-dinzeyi
Jaden Brown,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/227779/jaden-brown
Olabe,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/250683/olabe
Antonio Moya,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/252541/antonio-moya
Marc Cucurella,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/259910/marc-cucurella
Keidi Bare,0,0,0,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/250676/keidi-bare
Augusto Fernández,0,0,0,Atletico Madrid,"Pergamino, Argentina ",http://www.espnfc.co.uk/player/75887/augusto-fernandez
Matías Kranevitter,0,0,0,Atletico Madrid,Argentina ,http://www.espnfc.co.uk/player/195645/matias-kranevitter
Sebastien Cibois,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/270869/sebastien-cibois
Neto,0,0,0,Valencia,Brazil ,http://www.espnfc.co.uk/player/138398/neto
C Riveros,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/76884/c-riveros
Jaume,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/173750/jaume
Javier Jiménez García,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/251139/javier-jimenez-garcia
Ezequiel Garay,0,0,0,Valencia,"Rosario, Argentina ",http://www.espnfc.co.uk/player/68141/ezequiel-garay
Kevin Wimmer,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/174526/kevin-wimmer
Luis Quezada,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/259843/luis-quezada
Aymen Abdennour,0,0,0,Valencia,Tunisia ,http://www.espnfc.co.uk/player/135390/aymen-abdennour
João Cancelo,0,0,0,Valencia,Portugal ,http://www.espnfc.co.uk/player/176399/joao-cancelo
Jeison Murillo,0,0,0,Valencia,Colombia ,http://www.espnfc.co.uk/player/176757/jeison-murillo
Gabriel Paulista,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/192226/gabriel-paulista
Fabián Orellana,0,0,0,Valencia,Chile ,http://www.espnfc.co.uk/player/70076/fabian-orellana
Mousa Dembélé,0,0,0,Tottenham Hotspur,Belgium ,http://www.espnfc.co.uk/player/67490/mousa-dembele
Samuel Umtiti,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/150051/samuel-umtiti
Douglas ,0,0,0,Barcelona,Brazil ,http://www.espnfc.co.uk/player/130673/douglas
Nando García,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/222574/nando-garcia
Álvaro Tejero,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/231405/alvaro-tejero
Alphonse Aréola,0,0,0,Paris Saint-Germain ,France ,http://www.espnfc.us/player/148987/alphonse-areola
Ayotomiwa Dele-Bashiru,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/261422/ayotomiwa-dele-bashiru
Antoine Bernede,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/259820/antoine-bernede
Álvaro Medrán,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/200986/alvaro-medran
Anthony Georgiou,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/259941/anthony-georgiou
William Miller,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/81420/william-miller
Eugeni Valderrama Doménech,0,0,0,Valencia,Unknown,http://www.espnfc.co.uk/player/172979/eugeni-valderrama-domenech
Tashan Oakley-Boothe,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/259943/tashan-oakley-boothe
Fernando,0,0,0,Manchester City,Brazil ,http://www.espnfc.co.uk/player/124066/fernando
Alec Georgen,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/221548/alec-georgen
Danny Rose,0,0,0,Tottenham Hotspur,England ,http://www.espnfc.co.uk/player/104991/danny-rose
Christian Früchtl,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259054/christian-fruchtl
Leo Weinkauf,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/255896/leo-weinkauf
Manuel Neuer,0,0,0,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/84774/manuel-neuer
Joel Pereira,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/228638/joel-pereira
Tom Starke,0,0,0,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/10658/tom-starke
Ron-Thorben Hoffmann,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259128/ron-thorben-hoffmann
Felix Götze,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/245940/felix-gotze
Luke Amos,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/240099/luke-amos
Marcus Edwards,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/225552/marcus-edwards
Niklas Tarnat,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259127/niklas-tarnat
Lukas Mai,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259126/lukas-mai
Resul Türkkalesi,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259125/resul-turkkalesi
Alexander Nitzl,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/263204/alexander-nitzl
Theo Rieg,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/263205/theo-rieg
Filip Lesniak,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/194960/filip-lesniak
Josh Onomah,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/194111/josh-onomah
Davinson Sánchez,0,0,0,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/197105/davinson-sanchez
Sergio Romero,0,0,0,Manchester United,Argentina ,http://www.espnfc.co.uk/player/125298/sergio-romero
David de Gea,0,0,0,Manchester United,Spain ,http://www.espnfc.co.uk/player/108482/david-de-gea
Manuel Wintzheimer,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/231174/manuel-wintzheimer
Milos Pantovic,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/228628/milos-pantovic
Mario Crnicki,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/240267/mario-crnicki
Niklas Dorsch,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/225567/niklas-dorsch
Presnel Kimpembe,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/207015/presnel-kimpembe
Phil Jones,0,0,0,Manchester United,England ,http://www.espnfc.co.uk/player/140032/phil-jones
Rémy Descamps,0,0,0,Paris Saint-Germain ,France ,http://www.espnfc.us/player/222175/remy-descamps
Eduardo,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/124183/eduardo
Fabian Benko,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/222697/fabian-benko
Willy Caballero,0,0,0,Chelsea,"Entre Riós, Argentina ",http://www.espnfc.co.uk/player/34949/willy-caballero
Marcin Bulka,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/260035/marcin-bulka
Munir El Haddadi,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/193782/munir-el-haddadi
Axel Tuanzebe,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/229524/axel-tuanzebe
Stanley N'Soki,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/268808/stanley-nsoki
Juan Bernat,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/164194/juan-bernat
Dujon Sterling,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/231170/dujon-sterling
Trevor Chalobah,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/227784/trevor-chalobah
Marin Pudic,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/263206/marin-pudic
Fikayo Tomori,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/236210/fikayo-tomori
Tomas Kalas,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/164919/tomas-kalas
Luke Shaw,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/167127/luke-shaw
Maximilian Franzke,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/263203/maximilian-franzke
Carles Aleñá,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/233802/carles-alena
Renato Sanches,0,0,0,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/227217/renato-sanches
Andreas Christensen,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/186430/andreas-christensen
Cristian Cuevas,0,0,0,Chelsea,Argentina ,http://www.espnfc.co.uk/player/101277/cristian-cuevas
Dani Gómez,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/259841/dani-gomez
Jake Clark-Salter,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/219781/jake-clark-salter
Mattia Del Favero,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/219687/mattia-del-favero
Leonardo Loria,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/239917/leonardo-loria
Gianluigi Buffon,0,0,0,Juventus,"Carrara, Italy ",http://www.espnfc.co.uk/player/12947/gianluigi-buffon
Nicola Leali,0,0,0,Juventus,Italy ,http://www.espnfc.co.uk/player/151649/nicola-leali
Carlo Pinsoglio,0,0,0,Juventus,Italy ,http://www.espnfc.co.uk/player/121036/carlo-pinsoglio
Wojciech Szczesny,0,0,0,Juventus,Poland ,http://www.espnfc.co.uk/player/131634/wojciech-szczesny
Javier Mascherano,0,0,0,Barcelona,Argentina ,http://www.espnfc.co.uk/player/40380/javier-mascherano
Kyle Scott,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/152649/kyle-scott
Cristo González,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/209735/cristo-gonzalez
Luca Coccolo,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/239919/luca-coccolo
Ethan Hamilton,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/271166/ethan-hamilton
Benedikt Höwedes,0,0,0,Juventus,Germany ,http://www.espnfc.co.uk/player/97473/benedikt-howedes
Odsonne Edouard,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/222180/odsonne-edouard
Filippo Romagna,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/202335/filippo-romagna
Loïc Rémy,0,0,0,Chelsea,France ,http://www.espnfc.co.uk/player/84886/loic-remy
Joel Untersee,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/190619/joel-untersee
Marlon,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/200651/marlon
Oriol Busquets,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/259911/oriol-busquets
Valerio Rosseti,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/180880/valerio-rosseti
Kevin Trapp,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/122280/kevin-trapp
Thiago Silva,0,0,0,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/96254/thiago-silva
Mario Pasalic,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/189668/mario-pasalic
Tim Weah,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/266027/tim-weah
Kevin Rimane,0,0,0,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/164105/kevin-rimane
Stefano Sturaro,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/155014/stefano-sturaro
Marko Pjaca,0,0,0,Juventus,Croatia ,http://www.espnfc.co.uk/player/187956/marko-pjaca
